ID	LATITUDE	LONGITUDE
203	37.326586	-77.206683
204	37.326633	-77.206641
205	37.32659	-77.206595
206	37.326609	-77.206554
207	37.326618	-77.206621
208	37.327913	-77.206665
209	37.327948	-77.206449
210	37.327911	-77.207041
211	37.328575	-77.207685
212	37.328963	-77.207927
213	37.328928	-77.207964
214	37.328799	-77.208111
215	37.328849	-77.208143
216	37.329072	-77.208551
217	37.329039	-77.208318
218	37.329442	-77.20807
219	37.329844	-77.2082
220	37.329867	-77.208109
221	37.329645	-77.209015
222	37.329393	-77.20908
223	37.329433	-77.209389
224	37.329841	-77.209477
225	37.329917	-77.209498
226	37.329955	-77.209653
227	37.32982	-77.209543
228	37.32993	-77.209503
229	37.330052	-77.209523
230	37.329936	-77.209346
231	37.330074	-77.209331
232	37.330148	-77.209261
233	37.330184	-77.209218
234	37.33027	-77.209177
235	37.33042	-77.209107
236	37.330483	-77.209032
237	37.33040	-77.208863
238	37.330686	-77.208739
239	37.330655	-77.20871
240	37.330694	-77.208671
241	37.330537	-77.208529
242	37.33084	-77.208731
243	37.330858	-77.208821
244	37.330827	-77.20884
245	37.330767	-77.208833
246	37.330989	-77.208767
247	37.330412	-77.208955
248	37.330729	-77.208825
249	37.330762	-77.20886
250	37.330623	-77.209005
251	37.330621	-77.209003
252	37.33062	-77.209001
253	37.330517	-77.208829
254	37.330846	-77.208842
255	37.330845	-77.20884
256	37.330843	-77.208838
257	37.330842	-77.208837
258	37.330841	-77.208835
259	37.33084	-77.208833
260	37.330838	-77.208832
261	37.330837	-77.20883
262	37.330836	-77.208828
263	37.330704	-77.208935
264	37.330703	-77.208934
265	37.330702	-77.208932
266	37.330701	-77.20893
267	37.33070	-77.208929
268	37.330698	-77.208927
269	37.330697	-77.208925
270	37.330696	-77.208923
271	37.330695	-77.208922
272	37.330693	-77.20892
273	37.330633	-77.20894
274	37.330632	-77.208938
275	37.330691	-77.209006
276	37.330539	-77.209327
277	37.330665	-77.209031
278	37.330663	-77.20903
279	37.330537	-77.209327
280	37.33064	-77.209402
281	37.330508	-77.209489
282	37.330566	-77.209558
283	37.330643	-77.209499
284	37.330645	-77.209597
285	37.330644	-77.209595
286	37.330643	-77.209593
287	37.330642	-77.209592
288	37.33064	-77.20959
289	37.330639	-77.209588
290	37.330399	-77.209677
291	37.330398	-77.209675
292	37.330397	-77.209674
293	37.330396	-77.209672
294	37.330394	-77.20967
295	37.330393	-77.209668
296	37.330474	-77.209767
297	37.330472	-77.209765
298	37.330432	-77.21004
299	37.330466	-77.210008
300	37.330502	-77.210056
301	37.330507	-77.209314
302	37.330401	-77.209443
303	37.330400	-77.209442
304	37.330399	-77.209440
305	37.330375	-77.209486
306	37.330374	-77.209484
307	37.330372	-77.209483
308	37.330371	-77.209481
309	37.33037	-77.209479
310	37.330369	-77.209477
311	37.330367	-77.209476
312	37.330203	-77.209692
313	37.330202	-77.209691
314	37.330201	-77.209689
315	37.330351	-77.209532
316	37.330387	-77.209078
317	37.330385	-77.209076
318	37.330384	-77.209074
319	37.330383	-77.209073
320	37.330382	-77.209071
321	37.330691	-77.209006
322	37.33069	-77.209004
323	37.330689	-77.209003
324	37.330426	-77.208913
325	37.330383	-77.209284
326	37.330381	-77.209283
327	37.330455	-77.209152
328	37.330454	-77.20915
329	37.330442	-77.208814
330	37.33044	-77.208813
331	37.330439	-77.208811
332	37.33047	-77.20899
333	37.330523	-77.208824
334	37.330562	-77.208863
335	37.33056	-77.208861
336	37.330677	-77.208866
337	37.33064	-77.208988
338	37.330645	-77.208882
339	37.33079	-77.209005
340	37.330789	-77.209003
341	37.330788	-77.209001
342	37.330786	-77.209
343	37.330785	-77.208998
344	37.330784	-77.208996
345	37.330783	-77.208995
346	37.330781	-77.208993
347	37.33078	-77.208991
348	37.330779	-77.208989
349	37.330778	-77.208988
350	37.330776	-77.208986
351	37.330755	-77.208844
352	37.330754	-77.208842
353	37.330959	-77.208913
354	37.331055	-77.208943
355	37.33116	-77.20898
356	37.331162	-77.208982
357	37.331152	-77.208971
358	37.331151	-77.208969
359	37.33115	-77.208968
360	37.331142	-77.20907
361	37.331141	-77.209068
362	37.33114	-77.209067
363	37.331138	-77.209065
364	37.331137	-77.209063
365	37.331136	-77.209062
366	37.330974	-77.209158
367	37.330973	-77.209156
368	37.330967	-77.209257
369	37.330965	-77.209255
370	37.330964	-77.209254
371	37.330963	-77.209252
372	37.330962	-77.20925
373	37.330348	-77.21038
374	37.330348	-77.21038
375	37.32996	-77.209973
376	37.330594	-77.209804
377	37.33066	-77.209702
378	37.330658	-77.2097
379	37.330657	-77.209699
380	37.330656	-77.209697
381	37.330828	-77.209618
382	37.330826	-77.209616
383	37.330825	-77.209614
384	37.330824	-77.209613
385	37.330823	-77.209611
386	37.330821	-77.209609
387	37.33082	-77.209607
388	37.330819	-77.209606
389	37.330818	-77.209604
390	37.330768	-77.209761
391	37.330767	-77.20976
392	37.330765	-77.209758
393	37.330764	-77.209756
394	37.330763	-77.209755
395	37.330799	-77.20948
396	37.330798	-77.209478
397	37.330797	-77.209476
398	37.330796	-77.209474
399	37.330794	-77.209473
400	37.330738	-77.2093
401	37.330737	-77.209298
402	37.330736	-77.209297
403	37.330735	-77.209295
404	37.330774	-77.209107
405	37.330773	-77.209105
406	37.330772	-77.209103
407	37.330771	-77.209101
408	37.330769	-77.2091
409	37.33063	-77.209241
410	37.330629	-77.209239
411	37.330628	-77.209237
412	37.330626	-77.209236
413	37.330625	-77.209234
414	37.330896	-77.209359
415	37.330895	-77.209357
416	37.331036	-77.20913
417	37.331035	-77.209129
418	37.331034	-77.209127
419	37.331388	-77.209261
420	37.330728	-77.209892
421	37.330727	-77.20989
422	37.330711	-77.209943
423	37.330702	-77.210137
424	37.330701	-77.210135
425	37.33070	-77.210133
426	37.330698	-77.210132
427	37.330697	-77.21013
428	37.33070	-77.210133
429	37.330746	-77.210584
430	37.330745	-77.210582
431	37.330744	-77.210581
432	37.331019	-77.209862
433	37.331017	-77.209861
434	37.331057	-77.209788
435	37.331122	-77.209896
436	37.331183	-77.209867
437	37.331182	-77.209865
438	37.33118	-77.209864
439	37.331218	-77.209681
440	37.331349	-77.209436
441	37.331514	-77.209387
442	37.331513	-77.209386
443	37.331512	-77.209384
444	37.331444	-77.209444
445	37.331662	-77.209192
446	37.331648	-77.209291
447	37.331817	-77.209391
448	37.33179	-77.209449
449	37.331861	-77.209447
450	37.331853	-77.209545
451	37.331801	-77.209298
452	37.331891	-77.209335
453	37.33189	-77.209333
454	37.331889	-77.209331
455	37.331888	-77.20933
456	37.331887	-77.209328
457	37.331885	-77.209326
458	37.331884	-77.209324
459	37.331769	-77.209324
460	37.331768	-77.209322
461	37.331766	-77.20932
462	37.331765	-77.209319
463	37.331764	-77.209317
464	37.331753	-77.209557
465	37.331752	-77.209556
466	37.331751	-77.209554
467	37.331749	-77.209552
468	37.331748	-77.20955
469	37.331747	-77.209549
470	37.331746	-77.209547
471	37.331746	-77.209622
472	37.331744	-77.209621
473	37.331743	-77.209619
474	37.331742	-77.209617
475	37.331741	-77.209615
476	37.331739	-77.209614
477	37.331738	-77.209612
478	37.331737	-77.20961
479	37.331736	-77.209609
480	37.331734	-77.209607
481	37.33165	-77.20966
482	37.331648	-77.209658
483	37.331647	-77.209657
484	37.331646	-77.209655
485	37.331645	-77.209653
486	37.331643	-77.209651
487	37.331642	-77.20965
488	37.331641	-77.209648
489	37.33164	-77.209646
490	37.331638	-77.209645
491	37.331637	-77.209643
492	37.331636	-77.209641
493	37.331635	-77.209639
494	37.331633	-77.209638
495	37.331632	-77.209636
496	37.331773	-77.20972
497	37.331772	-77.209718
498	37.33177	-77.209716
499	37.331769	-77.209714
500	37.331768	-77.209713
501	37.331382	-77.210087
502	37.331325	-77.20991
503	37.331505	-77.209942
504	37.331538	-77.209948
505	37.331562	-77.209959
506	37.331576	-77.209895
507	37.331575	-77.209893
508	37.331574	-77.209891
509	37.331177	-77.211044
510	37.331106	-77.211146
511	37.33123	-77.210872
512	37.331639	-77.210187
513	37.33165	-77.210087
514	37.331774	-77.210104
515	37.331758	-77.210022
516	37.331849	-77.210015
517	37.33184	-77.209926
518	37.331839	-77.209925
519	37.331838	-77.209923
520	37.33199	-77.209854
521	37.332126	-77.209714
522	37.332047	-77.209688
523	37.331983	-77.209569
524	37.332024	-77.209491
525	37.332016	-77.209416
526	37.332031	-77.211531
527	37.332029	-77.211529
528	37.332028	-77.211528
529	37.332027	-77.211526
530	37.332925	-77.210146
531	37.333984	-77.211208
532	37.334003	-77.211138
533	37.334002	-77.211137
534	37.334	-77.211135
535	37.333999	-77.211133
536	37.333998	-77.211132
537	37.333885	-77.211138
538	37.334655	-77.210335
539	37.334448	-77.210216
540	37.334447	-77.210214
541	37.334446	-77.210213
542	37.334445	-77.210211
543	37.334443	-77.210209
544	37.334702	-77.210127
545	37.334703	-77.210095
546	37.334702	-77.210093
547	37.334524	-77.210251
548	37.334523	-77.21025
549	37.334522	-77.210248
550	37.334486	-77.210134
551	37.3346	-77.210284
552	37.334599	-77.210282
553	37.334597	-77.21028
554	37.334856	-77.209881
555	37.334854	-77.20988
556	37.334853	-77.209878
557	37.334852	-77.209876
558	37.334767	-77.209856
559	37.334766	-77.209854
560	37.334765	-77.209852
561	37.334763	-77.209851
562	37.334762	-77.209849
563	37.334761	-77.209847
564	37.33476	-77.209845
565	37.334758	-77.209844
566	37.334757	-77.209842
567	37.334756	-77.20984
568	37.334682	-77.209835
569	37.334681	-77.209833
570	37.33468	-77.209832
571	37.334678	-77.20983
572	37.334677	-77.209828
573	37.334676	-77.209826
574	37.334675	-77.209825
575	37.334673	-77.209823
576	37.334672	-77.209821
577	37.334671	-77.20982
578	37.33467	-77.209818
579	37.334668	-77.209816
580	37.334667	-77.209814
581	37.334666	-77.209813
582	37.334432	-77.209704
583	37.334431	-77.209703
584	37.334312	-77.210147
585	37.333626	-77.210129
586	37.333587	-77.210059
587	37.333628	-77.210026
588	37.33342	-77.21009
589	37.333489	-77.209793
590	37.333405	-77.209282
591	37.333432	-77.209222
592	37.333446	-77.20917
593	37.333446	-77.209406
594	37.333474	-77.209352
595	37.333532	-77.209268
596	37.333545	-77.208962
597	37.333541	-77.208958
598	37.333538	-77.208955
599	37.333534	-77.208951
600	37.333305	-77.208822
601	37.333304	-77.20882
602	37.332912	-77.208623
603	37.332616	-77.209226
604	37.332518	-77.209174
605	37.331053	-77.208489
606	37.330991	-77.208429
607	37.330936	-77.208363
608	37.33097	-77.208188
609	37.330866	-77.208154
610	37.330865	-77.208152
611	37.330863	-77.20815
612	37.330977	-77.208137
613	37.33109	-77.208123
614	37.331108	-77.208069
615	37.331122	-77.208033
616	37.331139	-77.20798
617	37.331138	-77.207978
618	37.331137	-77.207976
619	37.330739	-77.208312
620	37.330648	-77.208314
621	37.330661	-77.208286
622	37.33066	-77.208284
623	37.330659	-77.208282
624	37.330658	-77.208281
625	37.330656	-77.208279
626	37.330803	-77.208112
627	37.330802	-77.20811
628	37.33080	-77.208109
629	37.330799	-77.208107
630	37.33076	-77.208104
631	37.330758	-77.208102
632	37.330757	-77.208101
633	37.330756	-77.208099
634	37.330755	-77.208097
635	37.330753	-77.208096
636	37.330753	-77.208006
637	37.330626	-77.208048
638	37.33069	-77.207936
639	37.330688	-77.207934
640	37.328265	-77.205877
641	37.328246	-77.205753
642	37.328527	-77.206042
643	37.32851	-77.205936
644	37.32830	-77.205809
645	37.328299	-77.205807
646	37.328622	-77.205758
647	37.329151	-77.206223
648	37.329748	-77.206436
649	37.329681	-77.206371
650	37.329655	-77.206532
651	37.330388	-77.20687
652	37.330326	-77.206859
653	37.330259	-77.206836
701	37.334714	-77.210667
702	37.334827	-77.210452
703	37.33468	-77.21056
705	37.33264	-77.21083
706	37.33188	-77.209885
707	37.33112	-77.20894
708	37.33072	-77.20832
711	37.32719	-77.20563
712	37.32885	-77.20605
714	37.32882	-77.20571
717	37.32986	-77.20705
718	37.32996	-77.20706
719	37.32996	-77.20666
720	37.33321	-77.2086
721	37.33333	-77.20896
722	37.33235	-77.20969
723	37.33237	-77.20971
727	37.33361	-77.20897
728	37.33357	-77.20897
729	37.33351	-77.20902
801	37.33034	-77.20839
802	37.33096	-77.20876
803	37.33054	-77.2089
804	37.33098	-77.20853
805	37.33055	-77.20701
806	37.33058	-77.20649
807	37.33053	-77.20651
808	37.33232	-77.2076
809	37.33265	-77.20737
810	37.33321	-77.20932
811	37.33349	-77.20923
812	37.33325	-77.20961
813	37.33316	-77.20959
814	37.33117	-77.20863
815	37.33008	-77.20681
816	37.33002	-77.20662
818	37.33020	-77.20635
819	37.33340	-77.20898
820	37.33447	-77.20987
