Population,SampleID,X-Coordinate,Y-Coordinate,Cf-G8,,Cf-H18,,Cf-N5,,Cf-N10,,Cf-O5,
2,203,3040,6146,157,165,117,119,170,170,189,191,198,198
2,204,3070,6114,159,163,101,103,166,170,193,201,178,182
2,205,3096,6148,151,157,113,119,NA,NA,193,195,178,182
2,206,3124,6136,153,161,117,119,NA,NA,197,201,178,198
2,207,3082,6126,159,163,105,119,158,170,193,193,178,196
2,208,3148,5180,181,181,119,119,170,170,199,201,176,182
2,209,3288,5166,163,177,117,119,164,170,197,205,182,196
2,210,2908,5162,163,163,115,117,170,170,197,201,186,186
2,211,2546,4644,155,179,119,121,NA,NA,193,195,178,182
2,212,2420,4348,159,165,109,111,170,170,195,201,196,196
2,213,2394,4372,157,165,103,115,170,170,199,201,186,196
2,214,2291,4458,151,163,97,99,170,170,175,175,178,180
2,215,2274,4420,165,165,105,119,170,170,201,203,182,198
2,216,2030,4236,161,161,97,101,156,170,189,193,176,176
2,217,2176,4272,159,159,97,101,170,170,189,193,178,178
2,218,2364,3992,151,173,97,101,NA,NA,189,193,178,178
2,219,2310,3692,155,165,111,113,170,170,189,191,196,196
2,220,2370,3680,155,165,119,119,NA,NA,193,195,178,182
2,221,1776,3794,155,163,117,119,156,170,189,189,178,178
2,222,1716,3974,155,155,97,97,162,170,189,201,176,178
2,223,1522,3928,159,163,107,107,170,170,189,189,182,196
2,224,1496,3626,161,181,101,105,170,170,189,193,178,198
2,225,1488,3570,163,181,117,119,170,170,193,203,182,196
2,226,1392,3534,163,181,97,101,NA,NA,189,193,178,202
2,227,1452,3638,163,181,97,101,NA,NA,189,193,178,202
2,228,1486,3560,163,181,97,101,170,170,189,193,178,202
2,229,1482,3470,163,181,97,101,NA,NA,189,193,178,178
2,230,1586,3564,153,157,83,105,170,170,189,201,186,186
2,231,1606,3464,159,181,95,97,170,170,185,193,186,202
2,232,1656,3414,159,181,97,117,170,170,185,193,186,202
2,233,1686,3390,159,181,97,117,170,170,185,193,186,202
2,234,1718,3330,159,181,97,117,170,170,185,193,186,202
2,235,1774,3224,159,181,97,117,NA,NA,185,193,186,202
2,236,1826,3182,157,183,105,113,170,170,189,189,180,196
2,237,1928,3252,165,173,101,121,170,170,191,193,178,196
2,238,2028,3050,155,189,119,119,NA,NA,193,193,194,194
2,239,2044,3074,155,189,117,119,170,170,177,193,192,194
2,240,2072,3048,155,189,113,119,NA,NA,177,193,182,194
2,241,2151,3170,151,157,115,119,170,170,191,193,182,202
2,242,2044,2938,155,183,103,105,170,170,177,205,182,186
2,243,1988,2920,155,183,103,105,170,170,177,205,182,186
2,244,1974,2942,151,157,107,119,162,170,191,193,182,202
