site,long,lat
pedima,-114.29353,29.32541
pedima,-114.14413,29.1611
pedima,-114.04419,28.67194
pedima,-114.02159,29.26207
pedima,-114.02128,29.26121
pedima,-114.02126,29.26118
pedima,-114.02126,29.26182
pedima,-114.02115,29.26123
pedima,-114.02114,29.26121
pedima,-114.02113,29.26118
pedima,-114.02111,29.26201
pedima,-114.02107,29.262
pedima,-114.02101,29.26199
pedima,-114.02099,29.26199
pedima,-114.02098,29.2619
pedima,-114.02091,29.26188
pedima,-114.02062,29.2621
pedima,-114.02058,29.2627
pedima,-114.02053,29.26242
pedima,-114.02048,29.26266
pedima,-114.02045,29.26271
pedima,-114.02036,29.26231
pedima,-114.02021,29.26209
pedima,-114.01901,29.25903
pedima,-114.01834,29.25941
pedima,-113.99141,28.66056
pedima,-113.94486,29.01457
pedima,-113.66787,28.96651
pedima,-113.48973,28.72796
pedima,-113.39991,28.03661
pedima,-113.31609,27.52944
pedima,-113.31609,27.52944
pedima,-113.18943,28.2172
pedima,-113.18263,28.22308
pedima,-113.11473,28.2923
pedima,-113.10347,27.5385
pedima,-113.07373,27.56675
pedima,-113.07213,27.58008
pedima,-112.98605,27.03668
pedima,-112.986,27.0367
pedima,-112.964,27.3632
pedima,-112.86985,28.40846
pedima,-112.66552,27.18232
pedima,-112.52959,27.40498
pedima,-112.52959,27.40498
pedima,-112.40847,27.20283
pedima,-112.408,27.2028
pedima,-112.37004,27.24018
pedima,-112.17586,26.7522
pedima,-112.08062,25.91408
pedima,-112.08062,25.91409
pedima,-112.04613,26.94589
pedima,-112.04348,24.75359
pedima,-111.97786,27.0806
pedima,-111.97738,27.09556
pedima,-111.9093,26.85557
pedima,-111.80486,25.02267
pedima,-111.80363,25.02081
pedima,-111.675,25.0247
pedima,-111.67224,26.37022
pedima,-111.60056,25.34819
pedima,-111.54411,24.74641
pedima,-111.5441,24.74642
pedima,-111.46864,25.9757
pedima,-111.45771,28.3671
pedima,-111.4287,26.14853
pedima,-111.42501,26.12574
pedima,-111.4117,25.93052
pedima,-111.41025,25.93435
pedima,-111.38365,25.99783
pedima,-111.37915,26.07732
pedima,-111.3788,26.07949
pedima,-111.37833,26.20876
pedima,-111.37752,25.99667
pedima,-111.37608,26.07281
pedima,-111.36472,26.04211
pedima,-111.35475,26.0155
pedima,-111.34202,26.01535
pedima,-111.33743,25.79463
pedima,-111.32638,25.60521
pedima,-111.29352,24.48775
pedima,-111.21563,25.55757
pedima,-111.21399,25.82173
pedima,-111.21398,25.82173
pedima,-111.15921,28.02784
pedima,-111.10044,28.0105
pedima,-111.05731,28.01537
pedima,-111.05721,28.01544
pedima,-111.05687,28.01591
pedima,-111.05687,28.01591
pedima,-111.05656,28.01557
pedima,-111.05651,28.01568
